0.8966 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
7.2593 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
7.8441 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f7e813fd7f0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f7e85aa5790>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.8444 	EXP 	window1: mouseVisible = True
7.8453 	EXP 	window1: mouseVisible = False
7.8453 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.8454 	EXP 	window1: recordFrameIntervals = False
8.0108 	EXP 	window1: recordFrameIntervals = True
8.1944 	EXP 	Screen (0) actual frame rate measured at 60.04Hz
8.1944 	EXP 	window1: recordFrameIntervals = False
9.8839 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
9.8894 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
9.8959 	EXP 	Imported /Users/tanmayikalapatapu/Downloads/lab.tut.6_data.xlsx as conditions, 7 conditions, 3 params
9.8965 	EXP 	Created sequence: random, trialTypes=7, nReps=1, seed=None
9.8968 	EXP 	New trial (rep=0, index=0): {'reward_today': 78.0, 'future_reward': 80.0, 'delay': 162.0}
9.9361 	EXP 	text: height = 0.05
9.9361 	EXP 	text: height = 0.05
9.9361 	EXP 	text: height = 0.05
9.9361 	EXP 	text: text = 'GBP 78.0 today or GBP 80.0 after 162.0 days'
9.9361 	EXP 	fixation: autoDraw = True
10.8942 	EXP 	text: autoDraw = True
10.9435 	EXP 	fixation: autoDraw = False
20.8808 	EXP 	New trial (rep=0, index=1): {'reward_today': 40.0, 'future_reward': 55.0, 'delay': 62.0}
20.8939 	DATA 	Keypress: t
20.8999 	EXP 	fixation: autoDraw = False
20.8999 	EXP 	text: autoDraw = False
20.8999 	EXP 	text: height = 0.05
20.8999 	EXP 	text: height = 0.05
20.8999 	EXP 	text: height = 0.05
20.8999 	EXP 	text: text = 'GBP 40.0 today or GBP 55.0 after 62.0 days'
20.8999 	EXP 	fixation: autoDraw = True
21.8941 	EXP 	text: autoDraw = True
21.9110 	EXP 	fixation: autoDraw = False
26.9291 	EXP 	New trial (rep=0, index=2): {'reward_today': 49.0, 'future_reward': 60.0, 'delay': 89.0}
26.9484 	DATA 	Keypress: t
26.9536 	EXP 	fixation: autoDraw = False
26.9536 	EXP 	text: autoDraw = False
26.9536 	EXP 	text: height = 0.05
26.9536 	EXP 	text: height = 0.05
26.9536 	EXP 	text: height = 0.05
26.9536 	EXP 	text: text = 'GBP 49.0 today or GBP 60.0 after 89.0 days'
26.9536 	EXP 	fixation: autoDraw = True
27.9443 	EXP 	text: autoDraw = True
27.9605 	EXP 	fixation: autoDraw = False
31.5120 	EXP 	New trial (rep=0, index=3): {'reward_today': 15.0, 'future_reward': 35.0, 'delay': 13.0}
31.5229 	DATA 	Keypress: t
31.5281 	EXP 	fixation: autoDraw = False
31.5281 	EXP 	text: autoDraw = False
31.5281 	EXP 	text: height = 0.05
31.5281 	EXP 	text: height = 0.05
31.5281 	EXP 	text: height = 0.05
31.5281 	EXP 	text: text = 'GBP 15.0 today or GBP 35.0 after 13.0 days'
31.5281 	EXP 	fixation: autoDraw = True
32.5266 	EXP 	text: autoDraw = True
32.5433 	EXP 	fixation: autoDraw = False
36.4287 	EXP 	New trial (rep=0, index=4): {'reward_today': 27.0, 'future_reward': 50.0, 'delay': 21.0}
36.4379 	DATA 	Keypress: l
36.4440 	EXP 	fixation: autoDraw = False
36.4440 	EXP 	text: autoDraw = False
36.4440 	EXP 	text: height = 0.05
36.4440 	EXP 	text: height = 0.05
36.4440 	EXP 	text: height = 0.05
